Country,Year,Measure_group,OBS_VALUE_abstraction
Austria,2001,Agriculture & Fisheries,200.0
Austria,2001,Domestic & Public Use,85.2
Austria,2001,Industry & Manufacturing,2479.0
Austria,2002,Agriculture & Fisheries,200.0
Austria,2002,Domestic & Public Use,82.6
Austria,2002,Industry & Manufacturing,2440.4
Austria,2008,Domestic & Public Use,1216.0
Austria,2008,Industry & Manufacturing,3314.2
Austria,2010,Domestic & Public Use,755.0
Austria,2015,Domestic & Public Use,740.2
Austria,2016,Domestic & Public Use,1433.0
Austria,2017,Domestic & Public Use,1467.4
Austria,2018,Domestic & Public Use,1493.2
Austria,2019,Domestic & Public Use,0.0
Austria,2020,Domestic & Public Use,0.0
Austria,2021,Domestic & Public Use,33.98
Austria,2022,Domestic & Public Use,34.36
Azerbaijan,1990,Agriculture & Fisheries,27268.0
Azerbaijan,1990,Domestic & Public Use,677.0
Azerbaijan,1990,Industry & Manufacturing,100.0
Azerbaijan,1995,Agriculture & Fisheries,24944.0
Azerbaijan,1995,Domestic & Public Use,512.0
Azerbaijan,1995,Industry & Manufacturing,102.0
Azerbaijan,1996,Agriculture & Fisheries,12220.0
Azerbaijan,1996,Domestic & Public Use,551.0
Azerbaijan,1996,Industry & Manufacturing,52.0
Azerbaijan,1997,Agriculture & Fisheries,11238.0
Azerbaijan,1997,Domestic & Public Use,506.0
Azerbaijan,1997,Industry & Manufacturing,26.0
Azerbaijan,1998,Agriculture & Fisheries,9123.0
Azerbaijan,1998,Domestic & Public Use,410.0
Azerbaijan,1998,Industry & Manufacturing,21.0
Azerbaijan,1999,Agriculture & Fisheries,10204.0
Azerbaijan,1999,Domestic & Public Use,634.0
Azerbaijan,1999,Industry & Manufacturing,59.0
Azerbaijan,2000,Agriculture & Fisheries,19782.0
Azerbaijan,2000,Domestic & Public Use,378.0
Azerbaijan,2000,Industry & Manufacturing,37.0
Azerbaijan,2001,Agriculture & Fisheries,17902.0
Azerbaijan,2001,Domestic & Public Use,228.0
Azerbaijan,2001,Industry & Manufacturing,63.0
Azerbaijan,2002,Agriculture & Fisheries,17490.0
Azerbaijan,2002,Domestic & Public Use,403.0
Azerbaijan,2002,Industry & Manufacturing,26.0
