STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SOURCE,Source of water,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,GRC,Greece,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2012,,73.38,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,GRC,Greece,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2013,,73.38,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,GRC,Greece,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2014,,73.38,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,GRC,Greece,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2015,,73.38,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,GRC,Greece,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2016,,120.45,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,GRC,Greece,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2017,,120.45,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,GRC,Greece,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2018,,120.45,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,GRC,Greece,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2019,,120.45,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,GRC,Greece,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2020,,120.45,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,GRC,Greece,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2021,,120.45,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,GRC,Greece,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2022,,120.45,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2000,,12.95,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2001,,12.683,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2002,,12.912,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2003,,13.448,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2004,,13.73,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2005,,13.14,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2006,,12.698,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2007,,12.91,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2008,,12.746,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2009,,12.455,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2010,,12.25,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2011,,11.93,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2012,,11.191,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2013,,9.835,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2014,,10.686,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2015,,10.996,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2016,,10.361,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2017,,9.976,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2018,,11.094,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2019,,11.297,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2020,,10.79,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2021,,11.012,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,HRV,Croatia,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,2022,,11.62,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,1980,,1235,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,1985,,1389,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,1990,,1216,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,1995,,1275,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2000,,1138,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2001,,1022,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2002,,1021,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2003,,1045,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2004,,1129,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2005,,1126,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2006,,1108,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2007,,1186,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2008,,1121,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2009,,1016,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2010,,1100,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2011,,1042,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2012,,1085,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2013,,1204,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2014,,1122,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2015,,1118,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2016,,1253,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2017,,1249,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2018,,1173,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2019,,1191,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2020,,1195,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2021,,1286,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2022,,1214.6,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2006,,6.199999809,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2007,,6.960000038,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2008,,6.650000095,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2009,,1.4,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2010,,1.74,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2017,,23,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_MINE,Mining and quarrying,M3,Cubic metres,PUBLIC,Public water supply,2020,,28,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_TR,Transport vehicles and equipment,M3,Cubic metres,PUBLIC,Public water supply,2017,,2,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ISR,Israel,A,Annual,PUB_TR,Transport vehicles and equipment,M3,Cubic metres,PUBLIC,Public water supply,2020,,1,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ITA,Italy,A,Annual,PUB_TEX,Textile,M3,Cubic metres,PUBLIC,Public water supply,2012,,70.315,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,ITA,Italy,A,Annual,PUB_TEX,Textile,M3,Cubic metres,PUBLIC,Public water supply,2015,,46.859,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,KOR,Korea,A,Annual,PUB_ELEC,Electricity production,M3,Cubic metres,PUBLIC,Public water supply,2007,,171,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,1970,,686.4,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,1975,,1066.7,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,1980,,1504,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,1985,,1762.3,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,1990,,1922.7,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,1991,,1856.2,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,1992,,1921.9,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,1993,,1856.5,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,1994,,1750,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,1995,,1648.2,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,1996,,1565,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,1997,,1514.9,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,1998,,1452.6,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,1999,,1405.7,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2000,,1360.6,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2001,,1310.4,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2002,,1284.3,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2003,,1268.6,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2004,,1229.1,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2005,,1219,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2006,,1221.5,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2007,,1200.1,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2008,,1212.2,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2009,,1194.7,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2010,,1197.9,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2011,,1202,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2012,,1200.5,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2013,,1191.1,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2014,,1196,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,POL,Poland,A,Annual,PUB_HH,Households,M3,Cubic metres,PUBLIC,Public water supply,2015,,1236.5,,A,Normal value,6,Millions,1,One
