STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SOURCE,Source of water,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CHE,Switzerland,A,Annual,PUB_CONMAN,Industry and construction,M3,Cubic metres,PUBLIC,Public water supply,1989,,205,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CHE,Switzerland,A,Annual,PUB_CONMAN,Industry and construction,M3,Cubic metres,PUBLIC,Public water supply,1990,,271,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CHE,Switzerland,A,Annual,PUB_CONMAN,Industry and construction,M3,Cubic metres,PUBLIC,Public water supply,1991,,270,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CHE,Switzerland,A,Annual,PUB_CONMAN,Industry and construction,M3,Cubic metres,PUBLIC,Public water supply,1992,,229,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CHE,Switzerland,A,Annual,PUB_CONMAN,Industry and construction,M3,Cubic metres,PUBLIC,Public water supply,1993,,202,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CHE,Switzerland,A,Annual,PUB_CONMAN,Industry and construction,M3,Cubic metres,PUBLIC,Public water supply,1994,,215,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CHE,Switzerland,A,Annual,PUB_CONMAN,Industry and construction,M3,Cubic metres,PUBLIC,Public water supply,1995,,217.5,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CHE,Switzerland,A,Annual,PUB_CONMAN,Industry and construction,M3,Cubic metres,PUBLIC,Public water supply,1996,,188,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CHE,Switzerland,A,Annual,PUB_CONMAN,Industry and construction,M3,Cubic metres,PUBLIC,Public water supply,1997,,178.2,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CHE,Switzerland,A,Annual,PUB_CONMAN,Industry and construction,M3,Cubic metres,PUBLIC,Public water supply,1998,,185.2,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CHE,Switzerland,A,Annual,PUB_CONMAN,Industry and construction,M3,Cubic metres,PUBLIC,Public water supply,1999,,178.3,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CHE,Switzerland,A,Annual,PUB_CONMAN,Industry and construction,M3,Cubic metres,PUBLIC,Public water supply,2012,,80,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CHE,Switzerland,A,Annual,PUB_AGR,"Agriculture, forestry, fishing",M3,Cubic metres,PUBLIC,Public water supply,2012,,41.2,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,1980,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,1985,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,1990,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,1995,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,1996,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,1997,,0,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,1998,,119.8,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,1999,,115.9,,A,Normal value,6,Millions,1,One
